Comment,Designator,Footprint,JLCPCB Part #（optional）
CUI CMT-1285C-035,BUZ1,1,C252915
100nF 0402 X7R 50V,"C1, C5, C6, C8, C11, C14, C16, C30, C34, C38, C41, C42, C46, C50, C59, C60, C62, C63, C64, C70, C73",21,C77020
10uF 0402 X5R 10V,"C2, C3, C21, C22, C23, C24, C25, C26, C27, C28, C29, C35, C36, C37, C49",15,C77000
1uF 0402 X5R 25V,"C4, C7, C15, C17, C52, C53, C61, C65, C66",9,C77009
18pF 0402 X5R 50V,"C12, C43, C54, C58",4,C33149
10uF 0603 X5R 25V,"C31, C32, C39, C40, C44, C45, C67, C68, C69, C71, C72, C77, C78",13,C91606
10nF 0402 X7R 50V,C55,1,C60133
2.2uF 0402 X5R 25V,"C56, C57",2,C77002
47nF 0402 X7R 50V,"C74, C76",2,C272875
1nF 0402 X7R 50V,C75,1,C106205
LESD5D5.0CT1G,"D1, D3, D30, D39, D40",5,C383211
ESDA6V1-5SC6,D2,1,C6650
ESD9B3.3ST5G,"D4, D5, D7, D10, D11",5,C96512
SMBJ13A,D6,1,C404130
MMSZ5231BT1G,D8,1,C2759896
1N5711WS-7-F,"D9, D34",2,C151442
FSV1550V,"D12, D35, D36",3,C668953
VLMB1300-GS08,D27,1,C435849
BAV99W-7-F,"D28, D29, D31, D32",4,C93035
BAT54C,D33,1,C181200
Degson 2EDGK-5.08-02P-14-00AH,"J1, J15",2,C8445
Samtec SLW-103-01-T-D,J3,1,C492420
PJ-3059-B,J4,1,C2884976
B4B-XH-A(LF)(SN),J5,1,C144395
62201021121,J6,1,C7501289
TE Connectivity 1734366-3,J7,1,C32896
WJ15EDGVC-3.81-2P,J8,1,C8396
KF2EDGVC-5.08-4P,J9,1,C441388
2-5747706-0,J14,1,C189689
1217AS-H-3R3N=P3,"L1, L2, L3",3,C514864
DFE201612E-1R0M=P2,L5,1,C521238
IPD90P03P404ATMA1,"Q1, Q5, Q7",3,C148439
IRLR7843TRPBF,Q2,1,C21988
IRLML6244TRPBF,"Q3, Q4",2,C143946
BSS138W-7-F,"Q6, Q8, Q9",3,C24553
0.002R 1206 0.5W 1%,"R1, R52",2,C601094
10k 0402 0.1%,"R2, R9, R11, R19, R21, R23, R25, R29, R30, R31, R33, R34, R35, R37, R38, R39, R41, R42, R46, R57, R59, R71, R72, R73, R83, R84, R87, R91",28,C190095
1k 0402 1%,"R4, R6, R7, R10, R12, R13, R20, R26, R43, R44, R49, R62",12,C106235
0.1R 1206 0.5W 1%,"R5, R51",2,C601090
100k 0402 0.1%,"R14, R80, R81, R86, R94",5,C60491
0R 0402 1%,"R15, R47, R53, R78",4,C60485
100R 0402 0.1%,"R16, R17, R18, R88, R90, R95",6,C106233
0.082R 1206 0.5W 1%,R22,1,C705560
0R 1206 0.5W 1%,R28,1,C108081
51k 0402 0.1%,"R32, R40, R75, R82",4,C147794 
17k4 0402 0.1%,"R36, R92, R99",3,C517755 
73k2 0402 1%,"R45, R76",2,C185398
56k 0402 0.1%,R50,1,C114756
130Ohm 0402 1%,"R60, R61, R65, R66, R67, R68, R69",7,C413066
2k26 0402 0.1%,R77,1,C270627 
0.005R 1206 0.5W 0.5% 100ppm,R89,1,C723507
127k 0402 0.1%,R93,1,C138061
XKB7070-Z,SW2,1,C318863
ESP32-S3-WROOM-1-N8,U1,1,C2913198
Simcom SIM800C,U2,1,C69119
eSIM MFF2,U3,1,C5122390
INA3221AIRGVR,"U4, U9",2,C181255
LTV-356T,"U5, U7",2,C125117
TPS563231DRLR,"U6, U10, U11",3,C779412
TYPE-C 16PLC-H10.0,"U12, U13",2,C3151747
WS2812B-B/T,U14,1,C2761795
SPX3819M5-L-3-3/TR,"U16, U22",2,C9055
AFE4490RHAR,U17,1,C2651608
LM2903BIDR,U19,1,C2869804
SN74LVC1G3157DCKR,U20,1,C10426
BQ34110PWR,U21,1,C2877075
BQ25792RQMR,U23,1,C2862876
ABM3-8.000MHZ-D2Y-T,Y1,1,C144380
